id,title,artist,release,duration,year,loudness,country
0,Looking Back,John Mayall & The Bluesbreakers,Looking Back,157.20444,1997,-13.454,"Fargo, ND"
1,The Song Is You,Percy Faith,A Jerome Kern Songbook,143.67302,1998,-13.921,"Toronto, Ontario, Canada"
2,Golden Touch (LP Version),Shinehead,Unity,242.6771,1988,-23.202,"London, England"
3,Cabaret,Mademoiselle Sane,La petite boite en fer,173.13914,2007,-6.455,Neuilly-sous-Clermont (Oise)
4,I Heard It Throught The Grapevine,Creedence Clearwater Revived,Live Warsaw 2000,610.01098,2004,-8.491,Lanciano Italy
5,Venti scudi,Juan Diego Flórez / Mariusz Kwiecen / Orquestra de la Comunitat Valenciana / Daniel Oren,Bel Canto Spectacular,497.89342,2002,-15.469,"Oakland, CA"
6,It's All Understood,Jack Johnson,Flake,215.87546,2000,-15.901,"Galveston, TX"
7,Idnnitkhtr,TAKARU,There Can Be Only None,128.33914,2004,-6.1,"Seattle, Washington"
8,All That's Left,Thrice,The Artist In The Ambulance,201.58649,2003,-2.87,"Orange, CA"
9,The Sun is here for you,Jane Winther,Songs - The Sun is here for you,278.83057,2002,-15.782,"London, England"
10,Al maestro,El Barrio,Mal de amores,306.31138,2010,-9.341,"Spanish Harlem, New York City, NY"
11,The Ball,Harry Gregson-Williams,Shrek 2,69.642,2004,-8.967,United States
12,Spent,Darwin's Waiting Room,Orphan,204.79955,2001,-6.407,"Beaumont, TX"
13,Check 1_2,EPMD,Out Of Business,196.91057,1999,-7.481,allentown Pennsylvania USA
14,Show a Sign of Life,High Strung_ The,These Are Good Times,123.8722,2003,-4.399,"Detroit, MI"
15,Mean Old World Blues,T-Bone Walker,My Baby Left Me,174.96771,1983,-15.852,"Linden, TX"
16,Start Moving,Sal Mineo,Backline Volume 46,149.9424,2005,-6.244,"Newark, NJ"
17,Everyone (LP Version),Socialburn,Where You Are,241.84118,2003,-5.134,Arkansas
18,My Pillow,Roger Miller,Country In My Pillow,133.27628,1988,-8.473,"Fort Worth, TX"
19,Ville Eyolf,Black Debbath,Naar Vi Døde Rocker,276.21832,2006,-5.812,"Oslo, Norway"
20,Thug Love,X-Raided featuring Teddy Bear_ Big Pook_ T-Nutty,X-Filez V.3: The Madman Era,260.44036,1994,-7.545,"Galveston, TX"
21,Thats What I Like About a Country Song,Aaron Watson,Angels & Outlaws,170.84036,2008,-9.909,London
22,(I Used To Couldn't Dance) Tight Pants,Eagles Of Death Metal,Heart On,215.64036,2008,-4.462,"Detroit, MI"
23,The Christmas Song,David Banner / Sky / Marcus,MTA2-Baptized In Dirty Water,253.67465,2003,-5.29,Jackson MS
24,I'm Going All The Way (Album),Ann Nesby,Ann Nesby's Soulful Christmas,230.79138,2010,-9.884,"Joliet, IL &amp; Atlanta, GA"
25,Machinenfunk,1. Futurologischer Congress,Schützt die Verliebten,204.93016,1982,-10.644,"Lubbock, TX"
26,Big Boss Man,John Hammond,The Best Of,162.71628,1965,-11.726,"London, England"
27,Too Late,Peter Hunningale,Mr. Government,226.87302,2003,-10.003,"Seattle, WA"
28,Korea (LP Version),Deftones,White Pony,203.59791,2000,-3.145,"Sacramento, CA"
29,Kenourgios Erotas,POLINA,Kenourgios Erotas,193.59302,2007,-9.335,"New York, NY"
30,Aurèle et Céline,Georges Delerue,Chouans!,85.91628,1970,-10.7,"Sona-Bata, Zaire"
31,Playstation Generation,Smut Peddlers,ISM,167.60118,2006,-5.988,"Kamenetz-Podolsk, Moldavia"
32,Only Love,Daryl Hall & John Oates,Change Of Season,276.6624,1990,-12.086,"Philadelphia, Pennsylvania"
33,Times Up,DJ Spinn,Soul Searchin' Part 2,193.69751,2000,-12.369,AUSTRALIA
34,Romeo's Exile,Liam O'Flynn,Celtic Twilight 6,234.10893,1995,-9.148,"Beirut, Lebanon"
35,Well Oh Well,Tiny Bradshaw,The History of Rhythm and Blues - Disc 3,158.82404,2004,-6.627,"Youngstown, OH"
36,What's Gonna Happen On the 8th Day,Screamin' Jay Hawkins,I Put a Spell on You: The Best Of,301.13914,1996,-7.401,"Cleveland, OH"
37,Get Your Head Stuck On Your Neck,Soul Mekanik,Get Your Head Stuck On Your Neck,447.08526,2004,-11.106,"Los Angeles, CA"
38,Assassin,Floor,Below & Beyond,117.02812,2002,-7.24,Louisiana
39,Sample Track 17,Simon Harris,Wicked Disco & Soul Breaks,176.97914,1987,-15.759,Stockholm
40,Lake Charles Two-Step,The California Cajun Orchestra,Not Lonesome Anymore,172.48608,2003,-12.141,"Rio de Janeiro, BR"
41,Ocean Drive,Lighthouse Family,The Very Best Of,241.8673,1995,-8.03,"Newcastle, England"
42,Traffic,Truckfighters,Phi,270.44526,2007,-4.935,Örebro
43,Distractions,Dictafone,Wrapped Up In A Five Pound Note,307.98322,2001,-7.929,"London, England"
44,El Jorobadito,Los Auténticos Decadentes,Vinyl Replica: El Milagro Argentino,223.97342,1989,-7.364,Ohio
45,Headless Heroes (LP Version),Eugene McDaniels,Right On!,213.15873,2005,-10.959,"Kansas City, MO"
46,Same Game,Leigh Jones,Music in My Soul,200.51546,2008,-7.076,"New York, NY"
47,Decima Del Tiempo De Antes,Roberto Torres,Lo Mejor De Roberto Torres / Vol. II,276.00934,1994,-7.196,"ORANGE, California"
48,Five Long Years,Freddie King,Getting Ready... (World),263.65342,1971,-11.832,"Gilmer, TX"
49,Rider 4 Real,G Unit ft. 50 Cent_ Lloyd Banks & Tony Yayo,Body Snatcher's,202.10893,2002,-6.176,ABD
50,More Power To Ya,Petra,Petrafied! (Very Best Of Petra,219.08853,1995,-13.943,"Fort Wayne, Indiana"
51,Within My Blood,Skeletonwitch,Beyond the Permafrost,252.08118,2004,-5.131,"London, England"
52,Where We Are From,Lexie Mountain Boys,Sexy Fountain Noise,247.11791,2006,-24.19,"Havana, Cuba [Jesus Maria]"
53,Just One Time,Connie Smith,The Essential Connie Smith,148.63628,1989,-10.182,"Elkhart, IN"
54,Mr. Wonderful,Peggy Lee,Happy Day Collection - Fonzie's Women,200.6722,1992,-13.269,"Jamestown, ND"
55,Boar Hog Blues,Jazz Gillum,Jazz Gillum Vol. 1 1936-1938,170.9971,1997,-15.08,"Indianola, MS"
56,His Love Says (Album),Mark Lowry,For The First Time On Planet Earth,203.28444,1997,-12.228,Brandon
57,Eight (Album Version),Onesidezero,Is This Room Getting Smaller?,281.12934,2001,-6.765,"Los Angeles, CA"
58,Danger! She's A Stranger,The Five Stairsteps,Cameo Parkway 1957-1967,165.74649,2005,-8.701,"Chicago, IL"
59,Cellular Phone,Bounty Killer,Nah No Mercy - The Warlord Scrolls,205.29587,1995,-5.758,"Kingston, Jamaica"
60,You Gave Me A Mountain,The Jordanaires,The King's Harmoniers,239.35955,2008,-15.315,"Springfield, MO"
61,Limbo Rock,Dora The Explorer,Dora The Explorer Dance Fiesta!,159.29424,2006,-6.014,"Wilmette, IL"
62,Shadow After Dark,Ana Popovic,Still Making History,263.83628,2007,-5.212,"Belgrade, Yugoslavia"
63,Stop Breaking Down (1994 Digital Remaster),The Rolling Stones,Exile On Main St,274.18077,2006,-8.899,"London, England"
64,Fauché,Les Hou-Lops,Tout ira très bien,120.08444,2002,-7.03,Illinois
65,Xtra Thump (Featuring Tash from Tha Alkaholiks),Defari,Odds & Evens,178.72934,2003,-5.132,"Sheffield, England"
66,Orgullo,Los Cisnes,16 Exitos De Los Mejores Trios Mexicanos,182.72608,1985,-13.008,"Teoc, MS"
67,I Never Shall Forget That Day (Reunion Album Version),Bill & Gloria Gaither,Reunion,235.78077,1997,-9.456,"Birmingham, England"
68,Have Thine Own Way,Michael Bloomfield,If You Love These Blues_ Play'em As You Please,137.69098,2007,-12.963,jakarta
69,Protect You,Tim Hornsby,Protect You,89.62567,2005,-17.51,California - LA
70,"Take The ""A"" Train",Les Brown,Live 12 May 1957,203.7024,2003,-12.903,"Reinerton, PA"
71,Woman Shy,Jerry Reed,Oh What A Woman,135.18322,1967,-13.941,"OCALA, Florida"
72,Frankie And Johnny,Gene Autry,"Blues Singer 1929-1931 ""Booger Rooger Saturday Nite",163.52608,1996,-17.123,"Tioga Springs, TX"
73,Steppin' Out Tonight,The Jets,The Early Years,164.54485,2008,-14.022,"Westbury, Long Island, NY"
74,'57 Chevrolet,Billie Jo Spears,Misty Blue,173.68771,1990,-12.957,"Beaumont, TX"
75,You Left Me,The Maine,Can't Stop Won't Stop,209.00526,2008,-4.92,Maine
76,Don't Cha Know,Jimmie Vaughan,Strange Pleasure,260.72771,1994,-9.508,"Dallas, TX"
77,Lover In Demand,Delbert McClinton,Voices Of Americana: Delbert McClinton,105.35138,2000,-11.187,"Lubbock, TX"
78,You Should Be Free,Bruce Rowland,Return to Snowy River Part II,93.09995,2006,-27.011,AUSTRALIA
79,2HB (1999 Digital Remaster),Bryan Ferry,Let's Stick Together,194.61179,1976,-8.903,"Washington, England"
80,The Battle Of New Orleans,Johnny Horton,100 Country Classics,148.79302,1959,-8.601,"Los Angeles, CA"
81,Akhm Nakon,Saman,Rahayee,339.06893,2004,-9.163,"Redding, CA"
82,Keep It Going Louder (Tom Stephan Harder Mix),Major Lazer,Nervous Nitelife: Tom Stephan,352.02567,2005,-5.929,"Fayetteville, AR"
83,Million Teardrops,Jimmy Cliff,The EMI Years 1973-'75,216.45016,1997,-11.675,"St. Catherine, Jamaica"
84,You Lasses and Lads,The Baltimore Consort,Tunes from the Attic,201.50812,1997,-19.572,Texas
85,Happy Valentine's,Toby Love,Love Is Back,202.26567,2007,-3.723,US
86,February Song [Live],Josh Groban,Awake Live,311.14404,2008,-9.55,"St Michael, Barbados "
87,Take Her Out,Alice In Chains,Black Gives Way To Blue,239.35955,2009,-4.994,"Seattle, WA"
88,Speed Of Sound (Emergency Broadcast Album Version),White Heart,Emergency Broadcast,184.68526,2004,-9.579,California - LA
89,1969,Iggy And The Stooges,Telluric Chaos,220.78649,1969,-8.943,"Ann Arbor, MI"
90,Dixième Commandement,Papa Wemba,Foridoles,379.08853,2006,-6.649,"Kasai, Zaire"
91,Centopéia,Hélio Ziskind,Trem Maluco e Outras Cantigas de Roda,110.78485,1991,-12.418,"London, England"
92,Its Raining,Alternative TV,In Control,229.92934,1999,-10.905,"London, England"
93,God Bird Change,Al DiMeola,Electric Rendezvous,231.00036,1982,-10.841,"Jersey City, NJ"
94,Transamazonia (Deep Dish No Doze Mix),Shamen,Trasmazonia,600.37179,1995,-7.512,"Aberdeen, Scotland"
95,Wailing Sounds,Jimmy Page,Get the Led Out - Led Zeppelin Salute,157.02159,2004,-4.813,"Heston, Middlesex, England"
96,Tuscan Chica,Soul Ballet,LAViSH,462.07955,2007,-6.947,"Syracuse, NY"
97,Unbreak My Heart,Alexander O'Neal,Alex Loves...,267.25832,2008,-7.367,"Minneapolis, MN"
98,Rebel Music,Wyclef Jean featuring Prodigy of Mobb Deep,The Preacher's Son,237.50485,2003,-3.909,"Croix-des-Bouquets,  Haiti"
99,Italian Concerto in F_ BWV 971 - Allegro,Camerata Brasil,Bach in Brazil,282.3571,1994,-15.189,NY - New York City
100,Evergreen,Rubyhorse,Rise,266.03057,2002,-6.404,"Cork City, Ireland"
101,Light,Dann Huff,Solos,160.73098,2009,-13.716,Nashville
102,One Little Baby,The Wilburns,More Than Religion,232.28036,1982,-12.256,NY - New York City
103,Bonnie Mae,Solas,The Hour Before Dawn,232.56771,1991,-10.181,Detroit MI
104,Ain`t got nothing ( feat. David Banner & Eddy Soulo ),Samy Deluxe,So Deluxe So Glorious,234.05669,2005,-5.914,"Bézu, comme Superdupont, ne connait qu&#039;un pays : la France !"
105,Macarena,Los Del Rio,Party Time,251.21914,1993,-5.224,"Malden, MA"
106,Rock The House (Radio Edit),Gorillaz,G-Sides,183.53587,2001,-7.173,"Chicago, IL"
107,Old Man Rocking Chair,John Williams,Dusty Porch,132.64934,2004,-11.145,"NEW YORK, New York"
108,Fall River Legend: Conversation: Morton Gould/Agnes de Mille,Morton Gould,Fall River Legend,1610.00444,1998,-32.874,"Richmond Hill, NY"
109,Les Femmes Des Autres,Jacques Dutronc,Intégrale Les Cactus,189.85751,1969,-8.669,"Paris, France"
110,Times Square,T Lavitz,T Lavitz And The Bad Habitz,46.00118,2006,-17.165,New Jersey
111,Bystander (Album Version),unloco,Healing,362.34404,2001,-7.015,"Sacramento, CA"
112,Need To Belong To Someone,The Impressions,Times Have Changed,236.69506,1972,-8.671,United States
113,I Can't Stand It,Sam Baker,Sugar Man,144.74404,2005,-14.849,"Austin, TX"
114,Bi Thus A Mo Shuile (LP Version),Maire Brennan,Whisper To The Wild Water,113.55383,2005,-19.195,"Quitman, LA"
115,Bald Head,Professor Longhair,And... R&B was born,153.49506,1980,-15.572,"Bogalusa, LA"
116,Move On,Paul Stanley,Paul Stanley,191.55546,1978,-7.196,"Queens, NY"
117,Cold Youth,Cut Copy,In Ghost Colours,289.04444,2008,-2.846,"Melbourne, Australia"
118,L'Homme au trapèze volant,Alain Turban,Medrano,186.51383,2000,-10.32,Nashua USA
119,Heft*,Fastway,Trick Or Treat - Original Motion Picture Soundtrack  Featuring FASTWAY,318.9024,1994,-14.612,"Couchman, TX"
120,Sun Shower - Cadence Weapon Remix (Cd),Busdriver,Sun Shower,316.21179,2007,-7.64,California - SF
121,It's All In My Mind,Teenage Fanclub,Man-made,221.41342,2005,-7.603,"Glasgow, Scotland"
122,Some Guys Have All The Luck,Robert Palmer,At The BBC,184.34567,1981,-8.105,"Batley, England"
123,What Are You Fighting For,Gyptian,Strictly One Drop,219.76771,1995,-10.837,"Port Arthur, TX"
124,14 Botellas,2 Minutos,Valentin Alsina,52.32281,1994,-14.089,"PEARLINGTON, Mississippi"
125,Why Did You All Lie to Me?,Dario Marianelli,Everybody's Fine,262.94812,2009,-25.369,Florida
126,Fen Shou Zong Yao Zai Yu Tian,Jacky Cheung,Zhen Qing Liu Lu,287.4771,1971,-13.632,New York
127,Midnight  (LP Version),Axe,Nemesis,211.53914,1983,-7.465,"Tyneside, England"
128,Bailando,Casual,Casual,203.02322,2000,-13.173,California - LA
129,Good Enough,Evanescence,The Open Door,331.36281,2006,-12.527,"New York, NY"
130,Hornpipes: The First of May / the New Century,Dale Russ / Finn MacGinty,North Amerikay,169.16853,2003,-7.812,"Muskegon, MI"
131,Breakin',Milk Inc.,Supersized,206.75873,2006,-6.704,"ORANGE, California"
132,Restcure,Marygold,Turned Left But Don't Know If It Was Right,204.90404,1997,-3.869,Verona - Italy
133,Sunshower,Dave Valentin,Sunshower,277.21098,1999,-12.183,"Chelmsford, England"
134,The Friendly Visit / The Stack of Wheat / The Gypsy Hornpipe,Joe Derrane_ Frankie Gavin_ Brian McGrath,Ireland's Harvest,281.39057,2001,-14.094,"Itawamba County, MS"
135,Sahnu bhul ke Maha,Naseebo Lal,Chithi Lae ke Kabootar Ja,436.27057,2006,-12.797,California
136,Samaritanas Del Amor,Jose Luis Perales,Colección Diamante,199.94077,1984,-7.392,Minneapolis MN
137,Adios Pampa Mia,Los Iracundos,Discografia Completa Vol. 9,198.50404,2002,-8.972,Georgia
138,U Not Like Me,50 Cent,Get Rich Or Die Tryin',255.63383,2002,-3.084,"Queens, NY"
139,Mark Practices,Rolfe Kent,17 Again,48.69179,1993,-26.128,"Fayetteville, AR"
140,The Windmills Of Your Mind,Toots Thielemans,Footprints,181.55057,1971,-18.006,"Brussels, Belgium"
141,Can't Stop Cocoa Tea,Cocoa Tea,Weh Dem A Go Do...Can't Stop Cocoa Tea,162.35057,1991,-17.422,"Kingston, Jamaica"
142,Slave Song,Sade,Lovers Rock,252.47302,2000,-10.007,"Ibadan, Nigeria"
143,Hot Girls,Kiprich,Riddim Driven: Caribbean Style,186.17424,2007,-6.504,LA California
144,Junko partner,Mike Bloomfield,Diamond Master Series - Mike Bloomfield,284.1073,1996,-12.727,NY - New York City
145,Crave and Wonder,Arc Angels,Living In A Dream,320.31302,1997,-5.521,"Austin, TX"
146,Merry Christmas Baby,The Continentals,Merry Christmas Baby,179.06893,2007,-12.55,Washington DC
147,Mighty Lak' a Rose,Marilyn Horne,Rockabye Baby - Lullabies with Orchestra,164.62322,2003,-25.677,Great Britain / UK
148,Etre Le Premier,Jean-Jacques Goldman,Singulier 81 - 89,237.50485,2007,-8.069,"Paris, France"
149,La Fluta Magica,Fajardo,Danzones de Ayer,118.85669,1996,-9.412,"Ibadan, Nigeria"
150,It Ain't The Meat It's The Motion,Maria Muldaur,The L Word: Season 3,180.87138,1974,-5.959,"New York, NY"
151,Hymne A L'Amour,Marcel Azzola,L'Accordeoniste,285.41342,1990,-16.301,allentown Pennsylvania USA
152,Road-Age at the Farmers Market,Population Reduction,Each Birth a New Disaster,172.48608,2007,-8.416,"Brownsville, TN"
153,L'antillais Donne,Francky Vincent,Réchauffe L'hiver,261.74649,2007,-6.6,"Nashville, TN"
154,Inner Chamber,Aeoliah,Zen Peace,233.45587,1978,-25.163,Canada
155,Dayz Of Our Livez,Agency 1.9.9.4,Undergrounds Series Vol. 1: Dayz Of Our Livez,228.51873,2001,-2.979,South Carolina
156,Please Belive It,Mr. De',Belive In Soul E.P.,334.54975,1994,-8.536,"Chiswick, London, England"
157,Song Of The Valley,John Cale,Artificial Intelligence,307.22567,1985,-14.399,"Garnant, Wales"
158,Ju Ju,Poncho Sanchez,Latin Spirits,427.07546,2001,-9.428,"Laredo, TX"
159,Mass No. 19 in D minor_ 'Requiem' K626: Lacrimosa,Patrizia Pace/Waltraud Meier/Frank Lopardo/James Morris/Swedish Radio Choir/Stockholm Chamber Choir/Berliner Philharmoniker/Riccardo Muti,Mozart - Sacred Choral Works,212.4273,1999,-20.274,"Willowdale, Ontario, Canada"
160,I Constantly Thank God For Esteban (Album Version),Panic! At The Disco,A Fever You Can't Sweat Out,210.25914,2005,-5.72,"Las Vegas, NV"
161,Con Alma,The Fureys,The Dizzy Gillespie Alumni All-Stars: Dizzy's 80th Birthday Party,398.10567,2003,-14.28,New York
162,Estudio,Eduardo Fernandez,The Spanish Guitar - The Top 10,120.89424,1997,-28.547,"Gainesville, FL"
163,Queen Street Rag (144826),Birmingham Jubilee Singers,Birmingham Jubilee Singers Vol. 2 (1927-1930),188.3424,1986,-14.043,"St. Mary's, Jamaica"
